,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,track_name,preview_url,binary_label,multiclass_label
112,39glqzRVRAy4vq3PqeTGb8,0.452,0.465,4,-10.006,0,0.0344,0.0589,0.000524,0.095,0.0832,149.586,256043,4,SLANDER,Love Is Gone,https://p.scdn.co/mp3-preview/63056165a9df282ee4eee0b10ef96d9de894253d?cid=1f08b74262ce473390052367a2428089,-1,1
113,2uYEcvKNeFmGdCHWT7i6OU,0.305,0.485,11,-9.752,0,0.0603,0.489,0,0.136,0.329,79.574,301804,4,Jacob Lee,Silhouette,https://p.scdn.co/mp3-preview/e45744716dd6820e4243f1814bee862bb17fdc31?cid=1f08b74262ce473390052367a2428089,-1,1
114,2eMGnjkOcyw0g8qZ84BE6j,0.668,0.669,6,-5.966,0,0.0685,0.309,0.00167,0.122,0.51,119.974,194575,4,Stefan Biniak,"Read All About It, Pt. III",https://p.scdn.co/mp3-preview/7c4503f2d1d4a9bd4f4ece2931b789ce63310527?cid=1f08b74262ce473390052367a2428089,-1,1
116,2XLNoz60iPXPnbh4hWWIs7,0.721,0.605,8,-6.773,1,0.271,0.237,0,0.402,0.5,147.949,155676,4,Daniel Allan,Just Friends,https://p.scdn.co/mp3-preview/99a861e6cb22c3913944b96d2230007d4f5fb8dc?cid=1f08b74262ce473390052367a2428089,-1,1
118,7pWtm7wDWIoT0TWoqySBy5,0.61,0.663,1,-5.704,1,0.0355,0.0572,0.0103,0.116,0.125,120.05,177719,5,PINES,Half Way Home,https://p.scdn.co/mp3-preview/876c526985fd690ab5d7c3783e73ae90e8e23a40?cid=1f08b74262ce473390052367a2428089,-1,1
121,2ImJRXPtx4meYZ4DkhSU89,0.553,0.96,6,-4.493,0,0.0424,0.00844,0.172,0.266,0.214,126.046,158000,4,Marc Benjamin,Miss You,https://p.scdn.co/mp3-preview/9f7b71fee4b083e13842a0292fce1ee3490ce5cb?cid=1f08b74262ce473390052367a2428089,-1,1
123,4Z0KdXS7mzvh7MK36ZG9Pq,0.533,0.797,9,-4.989,1,0.032,0.061,0.0154,0.168,0.447,131.994,216406,4,Alex Kunnari,Heart Will Follow,https://p.scdn.co/mp3-preview/9a8d8691b4491dc5705793126fc1e68f3cb120e0?cid=1f08b74262ce473390052367a2428089,-1,1
124,2wwSQbfTJUqNqDch31XUpW,0.249,0.732,1,-6.455,1,0.104,0.182,0,0.117,0.328,169.896,225882,4,SLANDER,Hurts Sometimes (with Jonathan Mendelsohn),https://p.scdn.co/mp3-preview/5d500073d595f953cadfb921c41e6c4b61d1c940?cid=1f08b74262ce473390052367a2428089,-1,1
125,726GMkrLFseCdHebF8LdVU,0.811,0.524,7,-7.038,1,0.0324,0.598,0,0.105,0.304,109.979,166977,4,Briron Gauri,Can't Forget You,https://p.scdn.co/mp3-preview/9c931729de796d81b898811a7f3f5b761daee554?cid=1f08b74262ce473390052367a2428089,-1,1
126,6NJ2cKbAH7XGzYnhWXW1ue,0.337,0.728,5,-5.298,1,0.0286,0.109,0.139,0.249,0.172,125.963,184442,4,Justus,Time To Say Goodbye (feat. Maria Mathea),https://p.scdn.co/mp3-preview/7aa0efea0056ce7bb3f7bb335069950d3e53d6fe?cid=1f08b74262ce473390052367a2428089,-1,1
127,6FOkigXds5eFCnNwv7E6qW,0.551,0.668,6,-7.077,0,0.0447,0.12,3.67e-06,0.16,0.196,144.012,210000,4,tyDi,For The First Time,https://p.scdn.co/mp3-preview/7dcdbcae7c82997117add510219a8d37d79dedc9?cid=1f08b74262ce473390052367a2428089,-1,1
129,6LmNEPZWhYAyz9jZHaW3sj,0.457,0.926,7,-3.259,0,0.0403,0.00556,0.000167,0.243,0.15,174.032,247135,4,Maduk,Go,https://p.scdn.co/mp3-preview/a8689a5a97763bd27e5bd0acd188560b9d54d2a1?cid=1f08b74262ce473390052367a2428089,-1,1
131,0liqgDxxKqACG9kponhjfn,0.679,0.729,11,-1.724,1,0.101,0.297,0,0.117,0.375,115.074,223826,4,MIME,SRY,https://p.scdn.co/mp3-preview/a0164754f62e8a011dc29766ca4909b0d92b1722?cid=1f08b74262ce473390052367a2428089,-1,1
132,3hEP7OMePmKx20LuNQP45q,0.648,0.491,7,-7.117,0,0.0957,0.18,0,0.411,0.123,123.992,217493,4,Charlotte Cardin,Meaningless,https://p.scdn.co/mp3-preview/159f8e431abdd25fe7f023f52e85635a60545e23?cid=1f08b74262ce473390052367a2428089,-1,1
133,3Q7cF0uvDhoorWDWpsg024,0.654,0.81,9,-6.344,0,0.032,0.0239,0.579,0.502,0.263,124.031,212849,4,Lastlings,Out Of Touch - Edit,https://p.scdn.co/mp3-preview/64a7e3cbe68c2d5526a65549a62c409161886ac2?cid=1f08b74262ce473390052367a2428089,-1,1
134,6rAGFY9D3ah6Lb7fUgbNNH,0.447,0.553,0,-4.817,1,0.0322,0.212,0,0.165,0.252,149.877,168118,4,Alan Walker,Fake A Smile,https://p.scdn.co/mp3-preview/abc1f41e7ec682aee17b01f2f407e6ad4a4857f6?cid=1f08b74262ce473390052367a2428089,-1,1
135,2lxABaTopA3eLW78gm6TnP,0.652,0.917,7,-3.502,1,0.0492,0.255,2.01e-05,0.463,0.489,129.961,194308,4,Lookas,On My Own - Bishu Remix,https://p.scdn.co/mp3-preview/90f3cea9668b6ac33b29fccc02fdc6702d2c6c7c?cid=1f08b74262ce473390052367a2428089,-1,1
136,3AvERZJm26CbR8ocBxFJUo,0.386,0.66,10,-5.763,1,0.0349,0.0844,0,0.379,0.344,74.067,188800,4,Rave New World,Home,https://p.scdn.co/mp3-preview/77852863b3b2431bac6f2173401496762ecbaa12?cid=1f08b74262ce473390052367a2428089,-1,1
137,3OjsIFbvVKSzChggXzMM8M,0.467,0.737,4,-4.782,1,0.0305,0.0772,0,0.366,0.128,149.998,219400,4,Codeko,Bad At Being Alone,https://p.scdn.co/mp3-preview/21fdeb32fe84492d2777e2634fd5e298032a6769?cid=1f08b74262ce473390052367a2428089,-1,1
138,5WggjuxMubr94bo33Aan4K,0.345,0.79,2,-2.761,1,0.065,0.075,0.000165,0.101,0.208,179.849,253333,4,ILLENIUM,Sound of Walking Away,https://p.scdn.co/mp3-preview/504a8dc18df8b3e6fe7148d0cca379560f1d6970?cid=1f08b74262ce473390052367a2428089,-1,1
