,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,track_name,preview_url,binary_label,multiclass_label
177,6e0TEaeQcwhS8ktu5q0AYX,0.824,0.523,2,-9.055,1,0.112,0.725,0.0124,0.119,0.608,100.001,253000,4,Kai Mata,Where Love Goes,https://p.scdn.co/mp3-preview/4789a572e387184030b8f9193e2f764784e1c8cd?cid=1f08b74262ce473390052367a2428089,1,3
178,7vVtCG0LmChEV6NaIwALOh,0.586,0.54,0,-5.761,1,0.0255,0.192,0,0.127,0.162,82.156,252302,4,The Head And The Heart,People Need A Melody,https://p.scdn.co/mp3-preview/81d8aa4bf35a8136839c5d43359c66ef91911b6b?cid=1f08b74262ce473390052367a2428089,1,3
180,7j9eqHzhqBEfr9Unn6zdOS,0.702,0.887,7,-4.941,1,0.0642,0.052,0,0.143,0.872,95.029,139787,4,Drew Holcomb & The Neighbors,Family,https://p.scdn.co/mp3-preview/30dded16f3ea34a73dd6ced87a753fc1a145ce85?cid=1f08b74262ce473390052367a2428089,1,3
182,2qS1Bdyf7auoGgaknhdda9,0.567,0.735,2,-8.939,1,0.0293,0.224,0.00463,0.146,0.767,136.318,239240,4,Passenger,A Song for the Drunk and Broken Hearted,https://p.scdn.co/mp3-preview/f636127931dcbe0b9415b7c2b330037b6261b27b?cid=1f08b74262ce473390052367a2428089,1,3
183,3ohMvJzJyBzklKAqCNEaIg,0.484,0.736,9,-5.483,1,0.0417,0.102,6.6e-06,0.218,0.509,85.942,170490,1,Beoga,In a Rocket,https://p.scdn.co/mp3-preview/7b11fe96812c1c00c0c2eb97b78d62a0cfdb5696?cid=1f08b74262ce473390052367a2428089,1,3
185,1QkaMwPSBLV0GTvjy2VEZ3,0.467,0.779,10,-5.471,1,0.0464,0.162,6.29e-05,0.102,0.623,140.007,269613,4,Rayland Baxter,Hey Larocco,https://p.scdn.co/mp3-preview/495dc0050693a1f5856ebf2ddd9092c3588e1831?cid=1f08b74262ce473390052367a2428089,1,3
186,4hvogg26QxhiwZejv9nNae,0.536,0.704,10,-7.612,1,0.0417,0.0932,0,0.227,0.702,103.134,142819,4,Jade Bird,Headstart,https://p.scdn.co/mp3-preview/1b2147dd53cdd70a9603f5c4f1d7b009dad9eb5c?cid=1f08b74262ce473390052367a2428089,1,3
187,0a8eRyWUFB5icN7tNRwgFr,0.557,0.345,7,-12.675,0,0.0249,0.686,0.000417,0.291,0.52,99.942,250427,4,Elizabeth & the Catapult,pop the placebo,https://p.scdn.co/mp3-preview/980d302a0f01e986ee1ddb3708807aeba93a97c2?cid=1f08b74262ce473390052367a2428089,1,3
188,0CKT4fraX6cV2T0HeGGIJm,0.373,0.681,2,-8.002,1,0.0385,0.137,0.633,0.145,0.249,168.533,289162,4,The Lowest Pair,Too Late Babe,https://p.scdn.co/mp3-preview/8b64ec8118394a07a5f5f5c4350c7e28b49aa6b4?cid=1f08b74262ce473390052367a2428089,1,3
189,1UM7bluhwWTGfhvWWOshk7,0.431,0.823,7,-5.592,1,0.122,0.0538,2.48e-05,0.0855,0.624,176.536,227105,4,Birdtalker,Graveclothes,https://p.scdn.co/mp3-preview/f799b75eda849202b7d926c1676d4a55290cc94a?cid=1f08b74262ce473390052367a2428089,1,3
190,0o8LEuOfOGDJK1o6d9yTUu,0.559,0.915,2,-5.386,1,0.0308,0.1,0.000252,0.221,0.729,127.024,208333,4,The Apache Relay,Katie Queen of Tennessee,https://p.scdn.co/mp3-preview/d5f4ceb1c1516b24ed8533b6425a8d6d76bba39a?cid=1f08b74262ce473390052367a2428089,1,3
193,4w5nZwiTpDMTVQdugsXWW7,0.731,0.451,5,-12.621,1,0.03,0.482,0.0225,0.089,0.89,120.055,266756,4,Hiss Golden Messenger,Sanctuary,https://p.scdn.co/mp3-preview/3b5a09afd6d4d3fae10659cfef882d146384bbb7?cid=1f08b74262ce473390052367a2428089,1,3
194,7BVwi9cIzSc6tpyxsp47vJ,0.595,0.723,7,-8.256,1,0.0349,0.047,0.0286,0.0995,0.272,108.043,223640,1,Vance Joy,Mess Is Mine,https://p.scdn.co/mp3-preview/0bb48304530e1d8b5ad0f7e96c3c0064a7ba10dd?cid=1f08b74262ce473390052367a2428089,1,3
195,0ewrI06EIDMGXvgJxuyF3U,0.576,0.609,7,-5.921,1,0.107,0.303,0,0.164,0.737,86.703,212800,4,Shakey Graves,Dearly Departed (feat. Esmé Patterson),https://p.scdn.co/mp3-preview/0f99e74f244c34038ed0c9cac1d56ea3d6227cce?cid=1f08b74262ce473390052367a2428089,1,3
197,4C2yMWKNf2gLgXZgdhazzu,0.5,0.764,9,-7.571,1,0.0414,0.373,0.0014,0.287,0.683,85.98,197597,4,Hiss Golden Messenger,I Need a Teacher,https://p.scdn.co/mp3-preview/f38c2017523c57e9720702bbf0196a5350b694bb?cid=1f08b74262ce473390052367a2428089,1,3
198,6VJESmw3puw9eFpmglP2dM,0.959,0.424,2,-9.5,1,0.0522,0.435,0.00049,0.107,0.852,108.997,192743,4,Traveller,Hummingbird,https://p.scdn.co/mp3-preview/df10b8030bfa97f405a0aa20e478ca61f1ff1766?cid=1f08b74262ce473390052367a2428089,1,3
199,3ocLv1zQYgIT09uIWjmTSz,0.616,0.754,7,-7.312,0,0.0689,0.408,3.45e-06,0.127,0.377,117.922,190787,4,The Ballroom Thieves,Can't Cheat Death,https://p.scdn.co/mp3-preview/a1eeb1024bf4b326a46fb1203000418786f4f16f?cid=1f08b74262ce473390052367a2428089,1,3
202,0efT4YKQLQx2YHbp6vgRX8,0.446,0.533,7,-5.955,1,0.046,0.427,3.26e-06,0.332,0.58,183.81,222813,4,Hozier,Someone New,https://p.scdn.co/mp3-preview/4cc08b39b6be0cde0875993bd9cdb59d9ca004ee?cid=1f08b74262ce473390052367a2428089,1,3
203,4Y2365W43JtMuU2os31LUs,0.645,0.658,0,-5.87,1,0.0272,0.054,0.367,0.106,0.509,122.521,197387,4,Jeff Tweedy,Guess Again,https://p.scdn.co/mp3-preview/e2dda3d08466dfa4a60ddfc62ce5efd638faac26?cid=1f08b74262ce473390052367a2428089,1,3
204,3JeT6Xcv6MlEHHylk8SKQ1,0.558,0.47,7,-5.5,1,0.0316,0.68,0.914,0.532,0.427,118.06,238640,4,Bibio,lovers’ carvings,https://p.scdn.co/mp3-preview/428e10faeb50ab3605c7d6c6c971e6fc768f1876?cid=1f08b74262ce473390052367a2428089,1,3
205,0PHm9MrfZdEUasfd1XC0n2,0.46,0.825,0,-5.203,1,0.031,0.0695,1.52e-05,0.337,0.443,100.137,228587,4,The Head And The Heart,All We Ever Knew - Recorded at Spotify Studios NYC,https://p.scdn.co/mp3-preview/c06dc4f02b7a2f8e567978b902f4f2bf8ea75a8e?cid=1f08b74262ce473390052367a2428089,1,3
206,0qau061S9oIy7S5xHruwHA,0.484,0.869,9,-3.778,1,0.0322,0.327,0.000132,0.112,0.757,125.63,195160,3,Langhorne Slim,Put It Together,https://p.scdn.co/mp3-preview/9803d32bd36300cdfb1e577ff5a761cdb6d870b6?cid=1f08b74262ce473390052367a2428089,1,3
