id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,binary_label,multiclass_label
0A3nVGUkAN4MDBcnIXrheL,0.542,0.433,4,-8.333,1,0.0344,0.391,0,0.0836,0.23,83.569,148141,4,-1,1
4X6SrakJi0TGgsuevegjhn,0.722,0.72,6,-4.688,0,0.0643,0.819,8.72e-05,0.182,0.561,100.993,209109,4,-1,1
0742PcMPo2Akmo4vHC29VZ,0.52,0.204,7,-12.488,1,0.0355,0.733,2.53e-05,0.126,0.274,79.682,174587,4,-1,1
0v5cHrifMPkhqHkV02ddMq,0.646,0.415,1,-9.743,1,0.0404,0.383,2.18e-06,0.124,0.121,81.988,240000,4,-1,1
4L3dRbj3YpHqQz8jZCtiS7,0.758,0.622,8,-5.939,1,0.0308,0.275,8.07e-06,0.119,0.507,97.987,146939,4,-1,1
1iG0izNmn4afU7I3gPQLzX,0.783,0.438,11,-10.497,1,0.053,0.392,0,0.111,0.655,126.936,207000,4,-1,1
17nGM4wUJl37ETVtQmKmbE,0.697,0.45,2,-13.434,1,0.162,0.715,0.582,0.264,0.279,86.016,191000,4,-1,1
3JjY4IgdeK1w8qMBm0yWyw,0.583,0.627,3,-5.882,1,0.0343,0.144,0,0.219,0.535,159.921,181112,4,-1,1
1UUEkvLJY15jvfPBLdI6En,0.488,0.331,9,-8.789,1,0.036,0.746,0,0.166,0.274,82.523,184819,4,-1,1
1V7eUEX54ctiDVyBpQHA3l,0.795,0.294,10,-12.49,1,0.219,0.71,0,0.145,0.468,127.93,145312,4,-1,1
76cQg9zKImVOYRz6sU6xvw,0.899,0.259,5,-8.266,1,0.0638,0.369,0.0741,0.103,0.384,119.948,264000,4,-1,1
58wyJLv6yH1La9NIZPl3ne,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986,187932,4,-1,1
23c9gmiiv7RCu7twft0Mym,0.649,0.493,11,-7.645,0,0.11,0.586,0.000167,0.0667,0.277,104.542,231964,4,-1,1
2N3QoSBVPEvxYliGYVyimB,0.683,0.516,3,-7.43,1,0.0311,0.192,0,0.175,0.646,131.964,156818,4,-1,1
0nF3fbJFkhkd804YDhwNEA,0.697,0.824,5,-6.328,0,0.111,0.137,0.00702,0.141,0.599,158.023,185316,4,-1,1
27r2uANqwK7XbsiAZnzf9e,0.52,0.119,0,-12.148,1,0.0407,0.922,0,0.0883,0.355,69.217,202496,4,-1,1
39KG4kom3enSx4GTThuDGt,0.441,0.219,8,-14.586,1,0.0419,0.935,0,0.115,0.244,94.021,199120,4,-1,1
1Kz558WodSH2k1RI3QRBfz,0.452,0.753,10,-5.8,0,0.0336,0.00796,0.000817,0.238,0.441,93.991,169627,4,-1,1
3VcFoOwKYurSedLtz9nFJC,0.658,0.317,11,-12.318,0,0.0424,0.823,0.00548,0.111,0.262,76.849,186000,4,-1,1
5a6pdCHlWS2ekOOQ70QnAr,0.708,0.186,9,-8.953,0,0.0422,0.868,0,0.0779,0.321,72.541,156107,4,-1,1
5HBDBBr5OV90lubqW8ctJF,0.958,0.376,8,-7.063,1,0.0523,0.171,0,0.127,0.331,107.964,144427,4,-1,1
0Eqg0CQ7bK3RQIMPw1A7pl,0.559,0.422,11,-11.89,1,0.195,0.701,1.99e-06,0.0853,0.191,74.002,286928,4,-1,1
3mXYJFpSVXWMH3iWLtYVL1,0.633,0.504,10,-7.3,0,0.0623,0.517,0.205,0.245,0.263,81.42,84782,4,-1,1
6UxU84SbSxqb6ZD4q6lnkN,0.589,0.559,1,-8.167,0,0.212,0.809,0.000585,0.103,0.312,129.801,105587,4,-1,1
1ExZ69RqT3QVYyjylGigaG,0.436,0.293,7,-11.755,1,0.0259,0.825,0.0209,0.0697,0.225,82.331,160312,4,-1,1
